,ResultsFK,X,TransactionTime,BlockIDResourceID
211,1,0.04861111111111111,60.0,L0 Gate Lounge 1_Gate_Lounge_01
212,1,0.04861111111111111,64.0,L0 Gate Lounge 1_Gate_Lounge_04
213,1,0.04861111111111111,37.0,L0 Gate Lounge 1_Gate_Lounge_15
214,1,0.04861111111111111,28.0,L0 Gate Lounge 1_Gate_Lounge_12
215,1,0.04861111111111111,24.0,L0 Gate Lounge 1_Gate_Lounge_13
216,1,0.04861111111111111,29.0,L0 Gate Lounge 1_Gate_Lounge_14
217,1,0.04861111111111111,36.0,L0 Gate Lounge 1_Gate_Lounge_06
218,1,0.04861111111111111,44.0,L0 Gate Lounge 1_Gate_Lounge_03
219,1,0.04861111111111111,36.0,L0 Gate Lounge 1_Gate_Lounge_09
220,1,0.04861111111111111,26.0,L0 Gate Lounge 1_Gate_Lounge_10
221,1,0.04861111111111111,54.0,L0 Gate Lounge 1_Gate_Lounge_05
222,1,0.04861111111111111,60.0,L0 Gate Lounge 1_Gate_Lounge_02
223,1,0.04861111111111111,36.0,L0 Gate Lounge 1_Gate_Lounge_07
224,1,0.04861111111111111,37.0,L0 Gate Lounge 1_Gate_Lounge_08
225,1,0.052083333333333336,31.0,L0 Gate Lounge 1_Gate_Lounge_11
226,1,0.052083333333333336,70.0,L0 Gate Lounge 1_Gate_Lounge_01
227,1,0.052083333333333336,58.0,L0 Gate Lounge 1_Gate_Lounge_04
228,1,0.052083333333333336,37.0,L0 Gate Lounge 1_Gate_Lounge_15
229,1,0.052083333333333336,34.0,L0 Gate Lounge 1_Gate_Lounge_12
230,1,0.052083333333333336,22.0,L0 Gate Lounge 1_Gate_Lounge_13
231,1,0.052083333333333336,33.0,L0 Gate Lounge 1_Gate_Lounge_14
232,1,0.052083333333333336,46.0,L0 Gate Lounge 1_Gate_Lounge_06
233,1,0.052083333333333336,47.0,L0 Gate Lounge 1_Gate_Lounge_03
234,1,0.052083333333333336,26.0,L0 Gate Lounge 1_Gate_Lounge_09
235,1,0.052083333333333336,29.0,L0 Gate Lounge 1_Gate_Lounge_10
236,1,0.052083333333333336,47.0,L0 Gate Lounge 1_Gate_Lounge_05
