,ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID
263,1,44013.09375,,,L0 Security Control 1_Common Usage_5
264,1,44013.09375,,,L0 Security Control 1_Common Usage_8
265,1,44013.09375,,,L0 Security Control 1_Common Usage_3
266,1,44013.09375,,,L0 Security Control 1_Common Usage_6
267,1,44013.09375,,,L0 Security Control 1_Common Usage_2
268,1,44013.09375,,,L0 Security Control 1_Common Usage_4
269,1,44013.09375,,,L0 Security Control 1_Common Usage_1
270,1,44013.09722222222,2.0,2268.0,L0 Security Control 1_Common Usage_9
271,1,44013.09722222222,,,L0 Security Control 1_Common Usage_7
272,1,44013.09722222222,,,L0 Security Control 1_Common Usage_5
273,1,44013.09722222222,,,L0 Security Control 1_Common Usage_8
274,1,44013.09722222222,,,L0 Security Control 1_Common Usage_3
275,1,44013.09722222222,,,L0 Security Control 1_Common Usage_6
276,1,44013.09722222222,,,L0 Security Control 1_Common Usage_2
277,1,44013.09722222222,,,L0 Security Control 1_Common Usage_4
278,1,44013.09722222222,,,L0 Security Control 1_Common Usage_1
279,1,44013.100694444445,4.0,2268.0,L0 Security Control 1_Common Usage_9
280,1,44013.100694444445,,,L0 Security Control 1_Common Usage_7
281,1,44013.100694444445,,,L0 Security Control 1_Common Usage_5
282,1,44013.100694444445,,,L0 Security Control 1_Common Usage_8
283,1,44013.100694444445,,,L0 Security Control 1_Common Usage_3
284,1,44013.100694444445,,,L0 Security Control 1_Common Usage_6
285,1,44013.100694444445,,,L0 Security Control 1_Common Usage_2
286,1,44013.100694444445,,,L0 Security Control 1_Common Usage_4
287,1,44013.100694444445,,,L0 Security Control 1_Common Usage_1
288,1,44013.104166666664,2.0,2268.0,L0 Security Control 1_Common Usage_9
289,1,44013.104166666664,,,L0 Security Control 1_Common Usage_7
290,1,44013.104166666664,,,L0 Security Control 1_Common Usage_5
291,1,44013.104166666664,,,L0 Security Control 1_Common Usage_8
292,1,44013.104166666664,,,L0 Security Control 1_Common Usage_3
293,1,44013.104166666664,,,L0 Security Control 1_Common Usage_6
294,1,44013.104166666664,,,L0 Security Control 1_Common Usage_2
295,1,44013.104166666664,,,L0 Security Control 1_Common Usage_4
296,1,44013.104166666664,,,L0 Security Control 1_Common Usage_1
297,1,44013.10763888889,2.0,2268.0,L0 Security Control 1_Common Usage_9
298,1,44013.10763888889,,,L0 Security Control 1_Common Usage_7
299,1,44013.10763888889,,,L0 Security Control 1_Common Usage_5
300,1,44013.10763888889,,,L0 Security Control 1_Common Usage_8
301,1,44013.10763888889,,,L0 Security Control 1_Common Usage_3
302,1,44013.10763888889,,,L0 Security Control 1_Common Usage_6
303,1,44013.10763888889,,,L0 Security Control 1_Common Usage_2
304,1,44013.10763888889,,,L0 Security Control 1_Common Usage_4
305,1,44013.10763888889,,,L0 Security Control 1_Common Usage_1
306,1,44013.11111111111,2.0,2268.0,L0 Security Control 1_Common Usage_9
307,1,44013.11111111111,,,L0 Security Control 1_Common Usage_7
308,1,44013.11111111111,,,L0 Security Control 1_Common Usage_5
309,1,44013.11111111111,,,L0 Security Control 1_Common Usage_8
310,1,44013.11111111111,,,L0 Security Control 1_Common Usage_3
311,1,44013.11111111111,,,L0 Security Control 1_Common Usage_6
312,1,44013.11111111111,,,L0 Security Control 1_Common Usage_2
313,1,44013.11111111111,,,L0 Security Control 1_Common Usage_4
314,1,44013.11111111111,,,L0 Security Control 1_Common Usage_1
315,1,44013.114583333336,2.0,2268.0,L0 Security Control 1_Common Usage_9
316,1,44013.114583333336,,,L0 Security Control 1_Common Usage_7
317,1,44013.114583333336,,,L0 Security Control 1_Common Usage_5
318,1,44013.114583333336,,,L0 Security Control 1_Common Usage_8
319,1,44013.114583333336,,,L0 Security Control 1_Common Usage_3
320,1,44013.114583333336,,,L0 Security Control 1_Common Usage_6
321,1,44013.114583333336,,,L0 Security Control 1_Common Usage_2
322,1,44013.114583333336,,,L0 Security Control 1_Common Usage_4
323,1,44013.114583333336,,,L0 Security Control 1_Common Usage_1
324,1,44013.118055555555,5.0,2268.0,L0 Security Control 1_Common Usage_9
325,1,44013.118055555555,,,L0 Security Control 1_Common Usage_7
326,1,44013.118055555555,,,L0 Security Control 1_Common Usage_5
327,1,44013.118055555555,,,L0 Security Control 1_Common Usage_8
328,1,44013.118055555555,,,L0 Security Control 1_Common Usage_3
329,1,44013.118055555555,,,L0 Security Control 1_Common Usage_6
330,1,44013.118055555555,,,L0 Security Control 1_Common Usage_2
331,1,44013.118055555555,,,L0 Security Control 1_Common Usage_4
332,1,44013.118055555555,,,L0 Security Control 1_Common Usage_1
333,1,44013.12152777778,8.0,2268.0,L0 Security Control 1_Common Usage_9
334,1,44013.12152777778,,,L0 Security Control 1_Common Usage_7
335,1,44013.12152777778,,,L0 Security Control 1_Common Usage_5
336,1,44013.12152777778,,,L0 Security Control 1_Common Usage_8
337,1,44013.12152777778,,,L0 Security Control 1_Common Usage_3
338,1,44013.12152777778,,,L0 Security Control 1_Common Usage_6
339,1,44013.12152777778,,,L0 Security Control 1_Common Usage_2
340,1,44013.12152777778,,,L0 Security Control 1_Common Usage_4
341,1,44013.12152777778,,,L0 Security Control 1_Common Usage_1
342,1,44013.125,8.0,2268.0,L0 Security Control 1_Common Usage_9
343,1,44013.125,,,L0 Security Control 1_Common Usage_7
344,1,44013.125,,,L0 Security Control 1_Common Usage_5
345,1,44013.125,8.0,403.0,L0 Security Control 1_Common Usage_8
346,1,44013.125,,,L0 Security Control 1_Common Usage_3
347,1,44013.125,,,L0 Security Control 1_Common Usage_6
348,1,44013.125,,,L0 Security Control 1_Common Usage_2
349,1,44013.125,,,L0 Security Control 1_Common Usage_4
350,1,44013.125,,,L0 Security Control 1_Common Usage_1
351,1,44013.12847222222,7.0,2268.0,L0 Security Control 1_Common Usage_9
352,1,44013.12847222222,,,L0 Security Control 1_Common Usage_7
353,1,44013.12847222222,,,L0 Security Control 1_Common Usage_5
354,1,44013.12847222222,8.0,403.0,L0 Security Control 1_Common Usage_8
355,1,44013.12847222222,,,L0 Security Control 1_Common Usage_3
356,1,44013.12847222222,,,L0 Security Control 1_Common Usage_6
357,1,44013.12847222222,,,L0 Security Control 1_Common Usage_2
358,1,44013.12847222222,,,L0 Security Control 1_Common Usage_4
359,1,44013.12847222222,,,L0 Security Control 1_Common Usage_1
360,1,44013.131944444445,6.0,2268.0,L0 Security Control 1_Common Usage_9
361,1,44013.131944444445,,,L0 Security Control 1_Common Usage_7
362,1,44013.131944444445,,,L0 Security Control 1_Common Usage_5
363,1,44013.131944444445,6.0,403.0,L0 Security Control 1_Common Usage_8
364,1,44013.131944444445,,,L0 Security Control 1_Common Usage_3
365,1,44013.131944444445,,,L0 Security Control 1_Common Usage_6
366,1,44013.131944444445,,,L0 Security Control 1_Common Usage_2
367,1,44013.131944444445,,,L0 Security Control 1_Common Usage_4
368,1,44013.131944444445,,,L0 Security Control 1_Common Usage_1
369,1,44013.135416666664,7.0,2268.0,L0 Security Control 1_Common Usage_9
370,1,44013.135416666664,,,L0 Security Control 1_Common Usage_7
371,1,44013.135416666664,,,L0 Security Control 1_Common Usage_5
372,1,44013.135416666664,8.0,403.0,L0 Security Control 1_Common Usage_8
373,1,44013.135416666664,,,L0 Security Control 1_Common Usage_3
