,ResultsFK,Time,Time_1,FacilityStates,_ImmigrationType
443,1,44013.322916666664,2,Closed,Automatic
444,1,44013.32638888889,0,In Use,Normal
445,1,44013.32638888889,0,Idle,Normal
446,1,44013.32638888889,0,Idle,Automatic
447,1,44013.32638888889,10,Closed,Normal
448,1,44013.32638888889,0,In Use,Automatic
449,1,44013.32638888889,2,Closed,Automatic
450,1,44013.32986111111,0,In Use,Normal
451,1,44013.32986111111,0,Idle,Normal
452,1,44013.32986111111,0,Idle,Automatic
453,1,44013.32986111111,10,Closed,Normal
454,1,44013.32986111111,0,In Use,Automatic
455,1,44013.32986111111,2,Closed,Automatic
456,1,44013.333333333336,0,In Use,Normal
457,1,44013.333333333336,0,Idle,Normal
458,1,44013.333333333336,0,Idle,Automatic
459,1,44013.333333333336,10,Closed,Normal
460,1,44013.333333333336,0,In Use,Automatic
461,1,44013.333333333336,2,Closed,Automatic
462,1,44013.336805555555,0,In Use,Normal
463,1,44013.336805555555,0,Idle,Normal
464,1,44013.336805555555,0,Idle,Automatic
465,1,44013.336805555555,10,Closed,Normal
466,1,44013.336805555555,0,In Use,Automatic
467,1,44013.336805555555,2,Closed,Automatic
468,1,44013.34027777778,0,In Use,Normal
469,1,44013.34027777778,0,Idle,Normal
470,1,44013.34027777778,0,Idle,Automatic
471,1,44013.34027777778,10,Closed,Normal
472,1,44013.34027777778,0,In Use,Automatic
473,1,44013.34027777778,2,Closed,Automatic
474,1,44013.34375,0,In Use,Normal
475,1,44013.34375,0,Idle,Normal
476,1,44013.34375,0,Idle,Automatic
477,1,44013.34375,10,Closed,Normal
478,1,44013.34375,0,In Use,Automatic
479,1,44013.34375,2,Closed,Automatic
480,1,44013.34722222222,0,In Use,Normal
481,1,44013.34722222222,0,Idle,Normal
482,1,44013.34722222222,0,Idle,Automatic
483,1,44013.34722222222,10,Closed,Normal
484,1,44013.34722222222,0,In Use,Automatic
485,1,44013.34722222222,2,Closed,Automatic
486,1,44013.350694444445,0,In Use,Normal
