ResultsFK,X,TransactionTime,BlockIDResourceID
1,0.07291666666666667,25.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.07291666666666667,33.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.07291666666666667,18.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.07291666666666667,12.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.07291666666666667,40.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.07291666666666667,34.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.07291666666666667,20.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.07291666666666667,20.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.0763888888888889,14.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.0763888888888889,53.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.0763888888888889,30.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.0763888888888889,16.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.0763888888888889,19.0,L0 Gate Lounge 1_Gate_Lounge_12
1,0.0763888888888889,12.0,L0 Gate Lounge 1_Gate_Lounge_13
1,0.0763888888888889,10.0,L0 Gate Lounge 1_Gate_Lounge_14
1,0.0763888888888889,22.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.0763888888888889,25.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.0763888888888889,15.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.0763888888888889,5.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.0763888888888889,29.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.0763888888888889,33.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.0763888888888889,19.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.0763888888888889,22.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.0798611111111111,16.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.0798611111111111,36.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.0798611111111111,30.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.0798611111111111,10.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.0798611111111111,11.0,L0 Gate Lounge 1_Gate_Lounge_12
