,ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID,_ImmigrationType
234,1,44013.13888888889,,,L0 Immigration Control 1_Automatic_1,Automatic
235,1,44013.13888888889,,,L0 Immigration Control 1_Normal_03,Normal
236,1,44013.13888888889,,,L0 Immigration Control 1_Normal_01,Normal
237,1,44013.13888888889,,,L0 Immigration Control 1_Normal_02,Normal
238,1,44013.13888888889,,,L0 Immigration Control 1_Normal_07,Normal
239,1,44013.13888888889,,,L0 Immigration Control 1_Normal_09,Normal
240,1,44013.14236111111,,,L0 Immigration Control 1_Automatic_2,Automatic
241,1,44013.14236111111,,,L0 Immigration Control 1_Normal_06,Normal
242,1,44013.14236111111,,,L0 Immigration Control 1_Normal_10,Normal
243,1,44013.14236111111,,,L0 Immigration Control 1_Normal_05,Normal
244,1,44013.14236111111,,,L0 Immigration Control 1_Normal_08,Normal
245,1,44013.14236111111,,,L0 Immigration Control 1_Normal_04,Normal
246,1,44013.14236111111,,,L0 Immigration Control 1_Automatic_1,Automatic
247,1,44013.14236111111,,,L0 Immigration Control 1_Normal_03,Normal
248,1,44013.14236111111,,,L0 Immigration Control 1_Normal_01,Normal
249,1,44013.14236111111,,,L0 Immigration Control 1_Normal_02,Normal
250,1,44013.14236111111,,,L0 Immigration Control 1_Normal_07,Normal
251,1,44013.14236111111,,,L0 Immigration Control 1_Normal_09,Normal
252,1,44013.145833333336,,,L0 Immigration Control 1_Automatic_2,Automatic
253,1,44013.145833333336,,,L0 Immigration Control 1_Normal_06,Normal
254,1,44013.145833333336,,,L0 Immigration Control 1_Normal_10,Normal
255,1,44013.145833333336,,,L0 Immigration Control 1_Normal_05,Normal
256,1,44013.145833333336,,,L0 Immigration Control 1_Normal_08,Normal
257,1,44013.145833333336,,,L0 Immigration Control 1_Normal_04,Normal
258,1,44013.145833333336,,,L0 Immigration Control 1_Automatic_1,Automatic
259,1,44013.145833333336,,,L0 Immigration Control 1_Normal_03,Normal
260,1,44013.145833333336,,,L0 Immigration Control 1_Normal_01,Normal
261,1,44013.145833333336,,,L0 Immigration Control 1_Normal_02,Normal
262,1,44013.145833333336,,,L0 Immigration Control 1_Normal_07,Normal
263,1,44013.145833333336,,,L0 Immigration Control 1_Normal_09,Normal
264,1,44013.149305555555,,,L0 Immigration Control 1_Automatic_2,Automatic
265,1,44013.149305555555,,,L0 Immigration Control 1_Normal_06,Normal
266,1,44013.149305555555,,,L0 Immigration Control 1_Normal_10,Normal
267,1,44013.149305555555,,,L0 Immigration Control 1_Normal_05,Normal
268,1,44013.149305555555,,,L0 Immigration Control 1_Normal_08,Normal
269,1,44013.149305555555,,,L0 Immigration Control 1_Normal_04,Normal
270,1,44013.149305555555,,,L0 Immigration Control 1_Automatic_1,Automatic
271,1,44013.149305555555,,,L0 Immigration Control 1_Normal_03,Normal
272,1,44013.149305555555,,,L0 Immigration Control 1_Normal_01,Normal
273,1,44013.149305555555,,,L0 Immigration Control 1_Normal_02,Normal
274,1,44013.149305555555,,,L0 Immigration Control 1_Normal_07,Normal
275,1,44013.149305555555,,,L0 Immigration Control 1_Normal_09,Normal
276,1,44013.15277777778,,,L0 Immigration Control 1_Automatic_2,Automatic
277,1,44013.15277777778,,,L0 Immigration Control 1_Normal_06,Normal
278,1,44013.15277777778,,,L0 Immigration Control 1_Normal_10,Normal
279,1,44013.15277777778,,,L0 Immigration Control 1_Normal_05,Normal
280,1,44013.15277777778,,,L0 Immigration Control 1_Normal_08,Normal
281,1,44013.15277777778,,,L0 Immigration Control 1_Normal_04,Normal
282,1,44013.15277777778,,,L0 Immigration Control 1_Automatic_1,Automatic
283,1,44013.15277777778,,,L0 Immigration Control 1_Normal_03,Normal
284,1,44013.15277777778,,,L0 Immigration Control 1_Normal_01,Normal
285,1,44013.15277777778,,,L0 Immigration Control 1_Normal_02,Normal
286,1,44013.15277777778,,,L0 Immigration Control 1_Normal_07,Normal
287,1,44013.15277777778,,,L0 Immigration Control 1_Normal_09,Normal
288,1,44013.15625,,,L0 Immigration Control 1_Automatic_2,Automatic
289,1,44013.15625,,,L0 Immigration Control 1_Normal_06,Normal
290,1,44013.15625,,,L0 Immigration Control 1_Normal_10,Normal
291,1,44013.15625,,,L0 Immigration Control 1_Normal_05,Normal
292,1,44013.15625,,,L0 Immigration Control 1_Normal_08,Normal
293,1,44013.15625,,,L0 Immigration Control 1_Normal_04,Normal
294,1,44013.15625,,,L0 Immigration Control 1_Automatic_1,Automatic
295,1,44013.15625,,,L0 Immigration Control 1_Normal_03,Normal
296,1,44013.15625,,,L0 Immigration Control 1_Normal_01,Normal
297,1,44013.15625,,,L0 Immigration Control 1_Normal_02,Normal
298,1,44013.15625,,,L0 Immigration Control 1_Normal_07,Normal
299,1,44013.15625,,,L0 Immigration Control 1_Normal_09,Normal
300,1,44013.15972222222,,,L0 Immigration Control 1_Automatic_2,Automatic
301,1,44013.15972222222,,,L0 Immigration Control 1_Normal_06,Normal
302,1,44013.15972222222,,,L0 Immigration Control 1_Normal_10,Normal
303,1,44013.15972222222,,,L0 Immigration Control 1_Normal_05,Normal
304,1,44013.15972222222,,,L0 Immigration Control 1_Normal_08,Normal
305,1,44013.15972222222,,,L0 Immigration Control 1_Normal_04,Normal
306,1,44013.15972222222,,,L0 Immigration Control 1_Automatic_1,Automatic
307,1,44013.15972222222,,,L0 Immigration Control 1_Normal_03,Normal
308,1,44013.15972222222,,,L0 Immigration Control 1_Normal_01,Normal
309,1,44013.15972222222,,,L0 Immigration Control 1_Normal_02,Normal
310,1,44013.15972222222,,,L0 Immigration Control 1_Normal_07,Normal
311,1,44013.15972222222,,,L0 Immigration Control 1_Normal_09,Normal
312,1,44013.163194444445,,,L0 Immigration Control 1_Automatic_2,Automatic
313,1,44013.163194444445,,,L0 Immigration Control 1_Normal_06,Normal
314,1,44013.163194444445,,,L0 Immigration Control 1_Normal_10,Normal
315,1,44013.163194444445,,,L0 Immigration Control 1_Normal_05,Normal
316,1,44013.163194444445,,,L0 Immigration Control 1_Normal_08,Normal
317,1,44013.163194444445,,,L0 Immigration Control 1_Normal_04,Normal
318,1,44013.163194444445,,,L0 Immigration Control 1_Automatic_1,Automatic
319,1,44013.163194444445,,,L0 Immigration Control 1_Normal_03,Normal
320,1,44013.163194444445,,,L0 Immigration Control 1_Normal_01,Normal
321,1,44013.163194444445,,,L0 Immigration Control 1_Normal_02,Normal
322,1,44013.163194444445,,,L0 Immigration Control 1_Normal_07,Normal
323,1,44013.163194444445,,,L0 Immigration Control 1_Normal_09,Normal
